gauge_id,p_mean,pet_mean,aridity,frac_snow,moisture_index,seasonality,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
GRDC_1159850,2.1889805793762207,6.1601080894470215,2.8141446970728388,0.0,-0.6757367253303528,0.5835084915161133,0.05715263518138262,1.3446054750402576,0.689596167008898,6.38466413181242
GRDC_1159855,2.1904518604278564,6.260414123535156,2.85804688823991,0.0,-0.6802641749382019,0.574214518070221,0.05708418891170431,1.3386837881219904,0.6886379192334018,6.359671302149178
GRDC_1159860,2.196643829345703,6.571959018707275,2.9918182141821386,0.0,-0.6932671666145325,0.5513206124305725,0.056673511293634495,1.3419773095623988,0.6865845311430527,6.352754908169728
GRDC_1159880,2.4114415645599365,5.9770917892456055,2.478638453068368,0.0,-0.6295378804206848,0.6822333335876465,0.05386721423682409,1.3592400690846287,0.6520876112251882,5.9321295143212955
GRDC_1159890,2.4483261108398438,5.8712921142578125,2.398084180151882,0.0,-0.6117679476737976,0.7219079732894897,0.05708418891170431,1.3196202531645569,0.660643394934976,5.714624037892244
GRDC_1159900,2.604761838912964,5.8734235763549805,2.2548793093521806,0.0,-0.594476044178009,0.7329946756362915,0.05290896646132786,1.3350604490500864,0.6467488021902806,5.6077151335311575
GRDC_1159910,2.3404123783111572,6.325209617614746,2.7026047530046906,0.0,-0.6596806645393372,0.6347713470458984,0.059548254620123205,1.3700787401574803,0.6887063655030801,6.241935483870968
GRDC_1160091,1.4135299921035767,5.6629228591918945,4.006227593915066,0.0,-0.574964165687561,1.2547317147254944,0.06570841889117043,1.3333333333333333,0.8128678986995209,7.637299035369775
GRDC_1160095,1.5228108167648315,7.132610321044922,4.68384532242682,0.0,-0.6278980374336243,1.1297307014465332,0.06611909650924025,1.2983870967741935,0.8050650239561944,7.287484510532837
GRDC_1160100,2.037698745727539,5.84952449798584,2.870652254289595,0.0,-0.47091472148895264,1.2880544662475586,0.05920602327173169,1.279585798816568,0.7259411362080767,4.960710944808232
GRDC_1160101,2.1138453483581543,5.7267680168151855,2.7091707637283995,0.0,-0.4456914961338043,1.3434776663780212,0.06009582477754962,1.2706222865412446,0.7327173169062287,5.265617314313822
GRDC_1160102,1.4530256986618042,5.53434944152832,3.808844844675012,0.0,-0.6176781058311462,0.8649213314056396,0.05482546201232033,1.2694136291600633,0.7388774811772758,5.042036431574031
GRDC_1160113,1.9257382154464722,6.298530578613281,3.270709657258892,0.0,-0.5681300163269043,1.0221174359321594,0.05811088295687885,1.2786144578313252,0.7238193018480493,4.839816933638444
GRDC_1160115,1.4205220937728882,6.411000728607178,4.5131298954876815,0.0,-0.6975294947624207,0.6118499636650085,0.05325119780971937,1.269168026101142,0.7399041752224503,4.951901053595969
GRDC_1160120,1.2422289848327637,5.315876007080078,4.27930443741476,0.0,-0.6851349472999573,0.5969091653823853,0.05106091718001369,1.273037542662116,0.764681724845996,5.463080684596577
