q_sim,q_obs
0.2639327780920765,0.34
0.25039887643933445,0.34
0.23881932654302954,0.34
0.2251147072719174,0.34
0.2126288870534773,0.34
0.20713157725628967,0.34
0.20888003267745373,0.42
0.21418378568666063,0.35
0.2101791670194345,0.32
0.22176655216337618,0.32
0.2587441783509542,0.48
0.2898083382376842,0.52
0.30063939745201107,0.39
0.32853292454747207,0.35
0.4170980836607804,0.79
0.4180244960678179,0.46
0.4170400331830957,0.42
0.4182793743868079,0.38
0.4266720951578682,0.47
0.46096754037744925,0.42
0.4645769946422728,0.63
0.4998905181604789,0.44
0.5693661617144352,1.3
0.6015312199704579,0.82
0.5894350828561843,0.51
0.5803558690105238,0.45
0.9316446447026744,1.62
0.755409262568009,1.23
0.7126603790185854,0.73
0.6923400209090491,0.63
0.6884249574936927,0.59
0.6797280253464322,0.58
0.6571484551128979,0.54
0.6404373727821275,0.52
0.6108066342242842,0.5
0.6010463056794563,0.49
0.6407474405772758,0.77
0.66100583473088,0.56
0.6411824574173648,0.51
0.6644715172176743,0.49
0.6829264285786594,0.71
0.6633103619705519,0.53
0.6468676335921963,0.5
0.7077344025436605,0.97
0.7208373192489689,0.73
0.6979329834941099,0.61
0.6665987516244523,0.54
0.6322618873951126,0.52
0.6013419951874129,0.51
0.5725257459071278,0.51
0.5453594566800206,0.49
0.5234962047709374,0.48
0.5000465261796947,0.48
0.4779043829763855,0.47
0.45565343932395713,0.47
0.43586003591640476,0.47
0.41732323955064676,0.48
0.4590029147501282,0.73
0.46406326365354544,0.54
0.4712382175828582,0.5
0.49227875855382003,0.62
0.48920952805650464,0.54
0.47094765499225394,0.44
0.4560092744860902,0.43
0.44637526579130477,0.44
0.4358650119560771,0.43
0.41806150285107146,0.4
0.4157118685546721,0.51
0.40502222542774924,0.55
0.38966780744488466,0.43
0.3740758134149357,0.42
0.3608111964734828,0.42
0.3593324895405296,0.41
0.3946722001224869,0.49
0.5110851201653761,0.86
1.3496712934771267,2.54
0.7872906081424623,1.52
0.6864645330579445,0.88
0.6462191301474552,0.74
0.6493326963112815,0.68
0.6584615005970998,0.71
0.6444847728059855,0.64
0.612545622870455,0.59
0.5951489748867136,0.55
0.5753141058246063,0.55
0.5498851789875556,0.55
0.5338425097401136,0.53
0.5276748175559783,0.52
0.5187632920036694,0.51
0.629412699250141,0.76
0.6498476525356782,1.23
0.6759118657633709,0.75
0.7105522088288576,0.71
0.7688558822697521,0.89
0.9355397786583893,1.27
0.9760082997599621,1.84
1.0484020789686608,1.6
2.777521681509048,4.15
2.6374534978432456,4.15
1.6933501540152465,2.41
1.4161480905567034,1.79
1.4319484952958894,1.73
1.4548698360803927,1.77
1.4533433120034418,1.58
1.4244765175973317,1.35
1.3680591710965566,1.26
1.2975866103459952,1.18
1.2337104479178174,1.11
1.2034628239824061,1.07
1.1659554994521637,1.06
1.1138198159592265,1.0
1.0533250341669909,0.93
0.9948361714277775,0.91
0.9393539962170803,0.88
0.8869399189523718,0.87
0.8515620015799121,0.85
0.8366407753042336,0.84
0.807496372415303,0.83
0.7645110174049428,0.8
0.7703991978532782,0.86
0.7333823612035578,0.8
0.6930662661001749,0.72
0.9572793434425668,0.9
0.8624413920528047,1.09
0.8084181638226662,0.84
1.8974198380096288,1.9
3.1023243003543297,4.61
1.5322505058488638,2.24
1.1256825389119907,1.56
1.0269926095710158,1.35
0.9661310635605296,1.26
0.9118823492973034,1.2
0.8609668872993819,1.14
0.8129210291036554,1.11
0.7675587959546941,1.06
0.7247280667990731,1.05
0.6842873652747127,1.0
0.6461033055387483,0.98
0.6100499625185396,0.95
0.5760084394983221,0.92
0.565051118143327,0.94
0.5584342511953789,0.96
0.5302849295148754,0.92
0.5009993778208871,0.92
0.4730722673845783,0.91
0.4466769977915909,0.86
0.42175213430449215,0.87
0.5198940023178296,0.95
1.2900813214231133,2.91
2.379557361765412,6.8
1.7663188405761843,2.94
1.450101133420211,2.26
