Epoch: 5  | Loss training: 0.069 | Loss validation: 0.201 | Epoch time: 4.8  s | LR:0.00100 
Epoch: 6  | Loss training: 0.064 | Loss validation: 0.235 | Epoch time: 5.0  s | LR:0.00100 
Epoch: 7  | Loss training: 0.060 | Loss validation: 0.273 | Epoch time: 4.8  s | LR:0.00100 
Epoch: 8  | Loss training: 0.057 | Loss validation: 0.312 | Epoch time: 4.8  s | LR:0.00100 
Epoch: 9  | Loss training: 0.056 | Loss validation: 0.321 | Epoch time: 4.8  s | LR:0.00100 
Epoch: 10 | Loss training: 0.055 | Loss validation: 0.341 | Epoch time: 4.8  s | LR:0.00100 
Epoch: 11 | Loss training: 0.053 | Loss validation: 0.308 | Epoch time: 4.8  s | LR:0.00050 
Epoch: 12 | Loss training: 0.052 | Loss validation: 0.342 | Epoch time: 4.9  s | LR:0.00050 
Epoch: 13 | Loss training: 0.052 | Loss validation: 0.359 | Epoch time: 4.8  s | LR:0.00050 
Epoch: 14 | Loss training: 0.051 | Loss validation: 0.353 | Epoch time: 4.8  s | LR:0.00050 
Epoch: 15 | Loss training: 0.050 | Loss validation: 0.385 | Epoch time: 4.8  s | LR:0.00050 
Epoch: 16 | Loss training: 0.050 | Loss validation: 0.426 | Epoch time: 5.1  s | LR:0.00050 
Epoch: 17 | Loss training: 0.049 | Loss validation: 0.449 | Epoch time: 4.9  s | LR:0.00050 
Epoch: 18 | Loss training: 0.049 | Loss validation: 0.446 | Epoch time: 4.9  s | LR:0.00050 
Epoch: 19 | Loss training: 0.048 | Loss validation: 0.485 | Epoch time: 5.1  s | LR:0.00050 
Epoch: 20 | Loss training: 0.048 | Loss validation: 0.503 | Epoch time: 4.8  s | LR:0.00050 
Total training time: 100.0  s
Epoch: 1  | Loss training: nan | Loss validation: nan | Epoch time: 1.9  s | LR:0.00100 
Epoch: 2  | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00100 
Epoch: 3  | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00100 
Epoch: 4  | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00100 
Epoch: 5  | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00100 
Epoch: 6  | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00100 
Epoch: 7  | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00100 
Epoch: 8  | Loss training: nan | Loss validation: nan | Epoch time: 1.0  s | LR:0.00100 
Epoch: 9  | Loss training: nan | Loss validation: nan | Epoch time: 1.0  s | LR:0.00100 
Epoch: 10 | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00100 
Epoch: 11 | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00050 
Epoch: 12 | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00050 
Epoch: 13 | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00050 
Epoch: 14 | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00050 
Epoch: 15 | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00050 
Epoch: 16 | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00050 
Epoch: 17 | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00050 
Epoch: 18 | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00050 
Epoch: 19 | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00050 
Epoch: 20 | Loss training: nan | Loss validation: nan | Epoch time: 0.9  s | LR:0.00050 
Total training time: 19.7  s
Epoch: 1  | Loss training: 0.034 | Loss validation: nan | Epoch time: 3.8  s | LR:0.00100 
Epoch: 2  | Loss training: 0.025 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00100 
Epoch: 3  | Loss training: 0.021 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00100 
Epoch: 4  | Loss training: 0.018 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00100 
Epoch: 5  | Loss training: 0.017 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00100 
Epoch: 6  | Loss training: 0.016 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00100 
Epoch: 7  | Loss training: 0.015 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00100 
Epoch: 8  | Loss training: 0.014 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00100 
Epoch: 9  | Loss training: 0.014 | Loss validation: nan | Epoch time: 3.0  s | LR:0.00100 
