gauge_id,gauge_lat,gauge_lon,gauge_name,country,area
camelsde_111430,47.69947902,7.845420733,Zell,Germany,207.04510306017872
camelsde_111440,48.51651157,8.338584975,Baiersbronn,Germany,64.0884796045441
camelsde_111450,47.90309185,9.676142377,Durlesbach,Germany,273.4052586790252
camelsde_111460,47.73025188,9.243460044,Uhldingen,Germany,272.9325269367083
camelsde_111470,47.75654606,9.455037377,Fuchstobel,Germany,58.06094573
camelsde_111480,47.8483426,8.450182132,Ewattingen,Germany,354.5955727058171
camelsde_111490,48.49007718,8.145409233,Ramsbach,Germany,108.46374688077594
camelsde_111500,47.71816864,7.794653161,Tegernau,Germany,69.6898856806329
camelsde_111510,48.3113952,8.373313513,Schenkenzell,Germany,75.37594653804496
camelsde_111540,47.66788891,9.172853228,Konstanz,Germany,10860.91767567885
camelsde_111550,48.97008985,9.281725379,Steinheim,Germany,75.92154113468821
camelsde_111560,48.92342282,8.95237213,Vaihingen,Germany,1656.509326732236
camelsde_111570,49.02988357,10.10043141,Jagstzell,Germany,327.3768807911112
camelsde_111580,48.91757664,9.067519221,Talhausen,Germany,192.2954810814814
camelsde_111590,48.53679626,8.724347076,Iselshausen,Germany,147.62020329728094
camelsde_111600,49.25827453,9.287114384,Stein,Germany,1950.4467311226424
camelsde_111610,49.26854667,9.219941288,Untergriesheim,Germany,1818.1179287833445
camelsde_111620,48.20109504,8.778188105,Schömberg-Zulauf,Germany,29.872214209131844
camelsde_111630,49.26574034,9.757663191,Kocherstetten,Germany,1305.302156431605
camelsde_111640,48.33924397,8.834215915,Owingen,Germany,213.439099471669
camelsde_111650,48.3712624,8.578456746,Hopfau,Germany,231.5306284
camelsde_111660,48.51426784,8.58334939,Vörbach,Germany,42.09663471091
camelsde_111670,48.70926374,9.355228251,Denkendorf,Germany,125.01390905473112
camelsde_111680,49.23024652,9.343463724,Neuenstadt,Germany,140.55730461759725
camelsde_111690,48.52287189,9.144495287,Wannweil,Germany,134.2468086061977
camelsde_111700,49.32930553,9.245333144,Allfeld,Germany,59.40221577373625
camelsde_111710,49.34586829,9.128617271,Mosbach,Germany,154.9139271701114
camelsde_111720,48.89705616,8.729505127,Pforzheim,Germany,1475.798390730565
camelsde_111730,48.70215818,9.44379755,Plochingen,Germany,700.2119709842382
camelsde_111740,49.00155106,9.768200952,Gaildorf,Germany,753.0041818481859
camelsde_111760,48.81996113,10.12106543,Unterkochen,Germany,9.165113086803055
camelsde_111770,48.92212814,10.27992938,Lippach-Stockmühle,Germany,8.883953636233771
camelsde_111780,47.9633104,8.766459969,Möhringen,Germany,27.642315773711925
camelsde_111790,47.85959756,10.02872396,Nibelhöfe,Germany,131.80585938924523
camelsde_111810,47.76315553,10.06515858,Friesenhofen,Germany,60.36557119534919
camelsde_111820,48.87048484,8.711096837,Pforzheim,Germany,417.4974834647549
camelsde_111830,48.40322039,9.777649351,Blaubeuren,Germany,159.53831191725467
camelsde_111840,48.38459,8.889234222,Rangendingen,Germany,124.5478387955518
camelsde_111850,48.11177893,8.033507636,Simonswald,Germany,126.03780428442772
camelsde_111860,48.69697258,8.150008917,Altschweier,Germany,30.86562478375956
camelsde_111870,48.34278623,8.053267383,Zell am Harmersbach,Germany,103.04783961319438
camelsde_111880,48.29072046,7.94730853,Wittelbach,Germany,48.88231370804464
camelsde_111890,49.62587326,9.665740406,Tauberbischofsheim,Germany,1585.351414749761
camelsde_111900,48.50643814,9.374040352,Bad Urach,Germany,107.63275011531776
camelsde_111910,48.16029421,8.652062528,Göllsdorf,Germany,122.47356931404056
camelsde_111920,48.91383641,8.753958105,Eutingen,Germany,1487.2628776805527
camelsde_111940,48.90455331,9.963301234,Wöllstein,Germany,491.0923833006397
camelsde_111960,48.28406756,8.137653528,Hausach,Germany,671.4280770221595
camelsde_111980,48.25588387,9.579885161,Lauterach,Germany,337.6230351804237
camelsde_111990,48.1645175,9.522528245,Unlingen,Germany,163.7051588474132
camelsde_112010,49.08167743,9.196390361,Talheim,Germany,74.18361273272117
camelsde_112020,49.6065228,9.742817272,Grünsfeld oh. Mündung,Germany,45.823218468451216
camelsde_112030,49.00490094,9.143603494,Besigheim,Germany,2219.4904316097022
camelsde_112040,49.03643457,9.636185224,Oberrot,Germany,69.36327837
camelsde_112050,48.26343663,8.368794527,Hinterlehengericht,Germany,105.64348528126636
camelsde_112060,47.78200952,8.824747165,Hausen,Germany,137.08901205971046
camelsde_112070,49.00808481,8.515945489,Berghausen,Germany,231.50984211383545
camelsde_112100,49.04060223,9.910531619,Bühlertann,Germany,124.05098722818886
camelsde_112110,48.92314564,10.16976509,Dalkingen,Germany,88.9720064593779
camelsde_112120,49.0524935,9.726205604,Westheim,Germany,62.20803591826935
camelsde_112130,49.55457489,8.673789429,Weinheim-SKA,Germany,175.22852532382876
camelsde_112140,48.62926095,9.820988358,Geislingen,Germany,114.08035932611892
camelsde_112160,48.84489606,8.590463655,Neuenbürg,Germany,284.6378808813345
camelsde_112180,48.28417446,8.857745456,Balingen,Germany,126.34704816358725
camelsde_112200,48.77978805,8.574747313,Calmbach,Germany,205.25224056551457
camelsde_112220,49.25011692,9.455655198,Ohrnberg-Ort,Germany,152.46778544746994
camelsde_112260,48.77541357,8.573627336,Calmbach-Mitte,Germany,115.63307900506486
camelsde_112280,48.78846049,9.766941835,Schwäbisch Gmünd,Germany,166.67138519339682
camelsde_112310,48.39864629,9.964810588,Ulm,Germany,487.8848298862482
camelsde_112320,48.86238598,10.35132199,Bopfingen,Germany,107.7749717913368
camelsde_112330,48.34296214,8.021629764,Biberach,Germany,928.0346968306006
camelsde_112350,48.68733823,9.73822696,Salach,Germany,359.8263542759171
camelsde_112360,49.60587703,9.746750698,Grünsfeld,Germany,180.71411285538923
camelsde_112370,49.12146129,8.607440879,Bruchsal,Germany,175.79001862748814
camelsde_112380,49.15660709,8.633704536,Ubstadt,Germany,160.5992019893996
camelsde_112390,48.82217991,9.548285607,Haubersbronn,Germany,76.7317514103662
camelsde_112400,48.29956584,9.722497242,Ehingen-Berkach,Germany,167.65321779650944
camelsde_112410,48.05764202,8.464510231,Villingen,Germany,99.76021728057638
camelsde_112420,48.11916443,7.988789762,Gutach,Germany,302.08463341353763
camelsde_112450,47.99957288,10.04211765,Rot an der Rot,Germany,39.27216208049992
camelsde_112480,49.1701562,9.264333457,Erlenbach,Germany,100.74985637513342
camelsde_112490,48.63015018,10.15446846,Bolheim,Germany,317.2057359358731
